cliente_Log,idade,uf_nascimento,renda,Faixa de Renda
04901,28,MG,3389,Entre R$2.500 e R$5.000
12554,50,SP,4542,Entre R$2.500 e R$5.000
00140,33,RJ,2128,Entre R$1.750 e R$2.500
06626,21,RS,9921,Entre R$7.500 e R$10.000
03894,35,RJ,9141,Entre R$7.500 e R$10.000
13761,88,RN,12507,Mais Que R$10.000
11681,75,SP,1994,Entre R$1.750 e R$2.500
01422,45,RJ,11776,Mais Que R$10.000
01172,43,SP,5751,Entre R$5.000 e R$7.500
16058,76,SP,7235,Entre R$5.000 e R$7.500
19418,81,PR,7129,Entre R$5.000 e R$7.500
11787,39,RJ,10002,Mais Que R$10.000
06299,47,RJ,10693,Mais Que R$10.000
00884,80,DF,13387,Mais Que R$10.000
22578,75,RJ,2915,Entre R$2.500 e R$5.000
13666,66,SP,4537,Entre R$2.500 e R$5.000
04083,78,SP,6901,Entre R$5.000 e R$7.500
11980,81,RJ,7173,Entre R$5.000 e R$7.500
21083,78,ES,2071,Entre R$1.750 e R$2.500
23396,81,SP,13998,Mais Que R$10.000
21046,67,MG,12385,Mais Que R$10.000
04999,47,MG,7037,Entre R$5.000 e R$7.500
23956,45,GO,5012,Entre R$5.000 e R$7.500
15071,82,RS,2232,Entre R$1.750 e R$2.500
23089,81,MS,12173,Mais Que R$10.000
05328,60,SP,10664,Mais Que R$10.000
08956,31,RJ,13241,Mais Que R$10.000
09270,19,SP,2370,Entre R$1.750 e R$2.500
26379,52,SP,13252,Mais Que R$10.000
10403,60,SP,1993,Entre R$1.750 e R$2.500
18960,21,SP,10870,Mais Que R$10.000
11057,87,SP,3311,Entre R$2.500 e R$5.000
17967,58,PE,5980,Entre R$5.000 e R$7.500
18873,29,RS,12095,Mais Que R$10.000
07031,79,RJ,5239,Entre R$5.000 e R$7.500
21186,54,PR,3570,Entre R$2.500 e R$5.000
19483,43,SP,2452,Entre R$1.750 e R$2.500
22355,48,RJ,10706,Mais Que R$10.000
05071,48,SP,5558,Entre R$5.000 e R$7.500
27379,32,MG,8450,Entre R$7.500 e R$10.000
04355,85,SP,9927,Entre R$7.500 e R$10.000
22811,89,SP,4671,Entre R$2.500 e R$5.000
24555,58,MG,5268,Entre R$5.000 e R$7.500
17553,87,SP,14973,Mais Que R$10.000
26669,25,RJ,7650,Entre R$7.500 e R$10.000
20417,76,GO,6179,Entre R$5.000 e R$7.500
27524,32,BA,3007,Entre R$2.500 e R$5.000
00390,57,SC,2730,Entre R$2.500 e R$5.000
11792,22,SP,11204,Mais Que R$10.000
12934,59,RJ,8351,Entre R$7.500 e R$10.000
01838,88,MG,14910,Mais Que R$10.000
22523,23,SP,5803,Entre R$5.000 e R$7.500
00881,18,ES,14863,Mais Que R$10.000
22120,84,BA,2089,Entre R$1.750 e R$2.500
07821,69,RJ,9440,Entre R$7.500 e R$10.000
11882,79,MG,14126,Mais Que R$10.000
00615,39,SC,12571,Mais Que R$10.000
15758,67,RJ,1672,Até R$1.750
05823,62,MG,8557,Entre R$7.500 e R$10.000
16966,54,RJ,5756,Entre R$5.000 e R$7.500
10176,79,SP,8909,Entre R$7.500 e R$10.000
24877,43,ES,4199,Entre R$2.500 e R$5.000
25566,64,SC,8382,Entre R$7.500 e R$10.000
01597,27,RS,2668,Entre R$2.500 e R$5.000
18949,86,SP,11073,Mais Que R$10.000
01899,31,SP,2527,Entre R$2.500 e R$5.000
27968,24,RJ,8577,Entre R$7.500 e R$10.000
27067,63,SP,4050,Entre R$2.500 e R$5.000
08559,62,SP,10090,Mais Que R$10.000
20823,85,MG,13634,Mais Que R$10.000
03965,89,SC,5210,Entre R$5.000 e R$7.500
00324,89,RJ,2942,Entre R$2.500 e R$5.000
20592,37,RJ,7424,Entre R$5.000 e R$7.500
03836,60,MG,12124,Mais Que R$10.000
03242,43,MG,13824,Mais Que R$10.000
15836,81,RS,11139,Mais Que R$10.000
26561,43,RJ,13596,Mais Que R$10.000
06442,65,MG,4243,Entre R$2.500 e R$5.000
22886,48,SP,10540,Mais Que R$10.000
02634,23,RJ,2067,Entre R$1.750 e R$2.500
02784,36,MG,4572,Entre R$2.500 e R$5.000
13589,59,RJ,11680,Mais Que R$10.000
04438,62,SP,13045,Mais Que R$10.000
01322,49,SP,2621,Entre R$2.500 e R$5.000
02971,89,SP,12290,Mais Que R$10.000
27731,48,SP,2349,Entre R$1.750 e R$2.500
27927,74,SP,8108,Entre R$7.500 e R$10.000
04525,87,DF,7067,Entre R$5.000 e R$7.500
10586,34,MG,10811,Mais Que R$10.000
26415,64,RJ,9840,Entre R$7.500 e R$10.000
13320,30,SP,2170,Entre R$1.750 e R$2.500
20798,27,GO,13956,Mais Que R$10.000
25169,29,SP,4577,Entre R$2.500 e R$5.000
00870,25,SP,5826,Entre R$5.000 e R$7.500
05501,55,SP,10889,Mais Que R$10.000
10603,46,SP,6856,Entre R$5.000 e R$7.500
09272,19,SP,11100,Mais Que R$10.000
15925,73,SP,6465,Entre R$5.000 e R$7.500
20350,45,RJ,14631,Mais Que R$10.000
14937,76,SP,4709,Entre R$2.500 e R$5.000
17574,25,SE,2590,Entre R$2.500 e R$5.000
06766,85,SP,8098,Entre R$7.500 e R$10.000
21969,89,PR,2934,Entre R$2.500 e R$5.000
18364,67,SP,5719,Entre R$5.000 e R$7.500
24915,19,DF,13384,Mais Que R$10.000
24822,25,SP,9811,Entre R$7.500 e R$10.000
08409,79,SP,14213,Mais Que R$10.000
20771,19,MG,9569,Entre R$7.500 e R$10.000
23419,73,SP,3363,Entre R$2.500 e R$5.000
01916,72,GO,10217,Mais Que R$10.000
07585,56,SP,13061,Mais Que R$10.000
22094,58,RS,9252,Entre R$7.500 e R$10.000
08929,57,MG,8097,Entre R$7.500 e R$10.000
02772,59,SP,12747,Mais Que R$10.000
26571,35,SP,7482,Entre R$5.000 e R$7.500
05902,77,MG,2514,Entre R$2.500 e R$5.000
21433,28,SP,4269,Entre R$2.500 e R$5.000
21720,25,ES,11318,Mais Que R$10.000
12461,39,RS,10158,Mais Que R$10.000
01947,23,SC,9992,Entre R$7.500 e R$10.000
08628,72,RN,7497,Entre R$5.000 e R$7.500
09340,72,DF,1747,Até R$1.750
07311,75,PR,8718,Entre R$7.500 e R$10.000
26578,38,SP,7992,Entre R$7.500 e R$10.000
16893,86,RS,10908,Mais Que R$10.000
00587,46,GO,11711,Mais Que R$10.000
17800,73,RS,10815,Mais Que R$10.000
10688,48,RJ,6840,Entre R$5.000 e R$7.500
01608,40,RJ,10156,Mais Que R$10.000
07740,36,RJ,2357,Entre R$1.750 e R$2.500
22901,75,RS,11694,Mais Que R$10.000
00137,66,PE,3245,Entre R$2.500 e R$5.000
06219,86,SP,1570,Até R$1.750
19123,79,RS,11639,Mais Que R$10.000
15617,45,SP,11684,Mais Que R$10.000
01863,53,MG,11072,Mais Que R$10.000
18012,64,SP,11157,Mais Que R$10.000
21254,66,GO,14934,Mais Que R$10.000
04749,76,SP,11570,Mais Que R$10.000
12285,87,RJ,7638,Entre R$7.500 e R$10.000
08903,82,SP,2219,Entre R$1.750 e R$2.500
04814,43,RJ,2044,Entre R$1.750 e R$2.500
13849,66,SP,14659,Mais Que R$10.000
01573,72,SP,9080,Entre R$7.500 e R$10.000
06411,43,SP,10190,Mais Que R$10.000
03979,25,SP,11436,Mais Que R$10.000
27187,64,SP,6518,Entre R$5.000 e R$7.500
15952,86,RJ,3067,Entre R$2.500 e R$5.000
03812,29,MT,7078,Entre R$5.000 e R$7.500
18276,65,RS,7088,Entre R$5.000 e R$7.500
22473,24,SP,6004,Entre R$5.000 e R$7.500
01780,50,SP,2405,Entre R$1.750 e R$2.500
25386,48,SP,11672,Mais Que R$10.000
15870,63,CE,14256,Mais Que R$10.000
25575,89,SP,7744,Entre R$7.500 e R$10.000
24124,81,SP,11597,Mais Que R$10.000
05623,70,PR,13195,Mais Que R$10.000
25579,74,SP,3920,Entre R$2.500 e R$5.000
27309,21,RJ,12374,Mais Que R$10.000
06679,68,RJ,3549,Entre R$2.500 e R$5.000
11774,26,RJ,13557,Mais Que R$10.000
08237,54,SP,11550,Mais Que R$10.000
03146,56,RS,12167,Mais Que R$10.000
20490,29,SP,9150,Entre R$7.500 e R$10.000
22881,41,PE,6571,Entre R$5.000 e R$7.500
21143,55,BA,7535,Entre R$7.500 e R$10.000
21059,55,SP,4155,Entre R$2.500 e R$5.000
21771,52,SP,13095,Mais Que R$10.000
16290,47,MG,5957,Entre R$5.000 e R$7.500
09866,70,RS,13567,Mais Que R$10.000
23240,61,RS,12498,Mais Que R$10.000
18764,43,MG,14256,Mais Que R$10.000
15488,63,ES,10218,Mais Que R$10.000
00882,55,RJ,8774,Entre R$7.500 e R$10.000
07441,38,SP,6778,Entre R$5.000 e R$7.500
03959,37,SP,12315,Mais Que R$10.000
08174,67,MG,12424,Mais Que R$10.000
20422,84,GO,8105,Entre R$7.500 e R$10.000
26641,83,BA,12860,Mais Que R$10.000
13647,49,RJ,7156,Entre R$5.000 e R$7.500
04047,78,SC,8185,Entre R$7.500 e R$10.000
14376,71,RJ,9437,Entre R$7.500 e R$10.000
27649,21,MA,10338,Mais Que R$10.000
11666,76,SP,8854,Entre R$7.500 e R$10.000
20254,44,SP,12433,Mais Que R$10.000
18626,26,MG,13830,Mais Que R$10.000
07944,41,MG,13036,Mais Que R$10.000
05837,69,MG,2771,Entre R$2.500 e R$5.000
25628,72,SP,10143,Mais Que R$10.000
11725,80,RJ,13178,Mais Que R$10.000
11453,66,MG,5459,Entre R$5.000 e R$7.500
27049,57,MG,12495,Mais Que R$10.000
16442,65,SP,7988,Entre R$7.500 e R$10.000
22262,57,SP,11948,Mais Que R$10.000
09049,37,SP,2435,Entre R$1.750 e R$2.500
08968,51,MG,7769,Entre R$7.500 e R$10.000
24636,54,PR,7294,Entre R$5.000 e R$7.500
18419,22,SP,14630,Mais Que R$10.000
15064,46,RJ,12198,Mais Que R$10.000
25859,56,RJ,8446,Entre R$7.500 e R$10.000
09847,64,PB,13338,Mais Que R$10.000
18547,44,RJ,4564,Entre R$2.500 e R$5.000
09715,72,BA,5539,Entre R$5.000 e R$7.500
13835,65,DF,5610,Entre R$5.000 e R$7.500
07073,59,SP,13114,Mais Que R$10.000
07374,19,SP,3250,Entre R$2.500 e R$5.000
27333,57,PI,8434,Entre R$7.500 e R$10.000
26155,37,SC,3446,Entre R$2.500 e R$5.000
25523,39,RJ,6328,Entre R$5.000 e R$7.500
08615,35,MS,3982,Entre R$2.500 e R$5.000
25578,47,SP,3280,Entre R$2.500 e R$5.000
08277,82,SP,4139,Entre R$2.500 e R$5.000
15233,42,RJ,8118,Entre R$7.500 e R$10.000
01209,80,SP,5768,Entre R$5.000 e R$7.500
05565,26,BA,12807,Mais Que R$10.000
26359,79,SP,10590,Mais Que R$10.000
22091,49,MG,2341,Entre R$1.750 e R$2.500
15343,25,RJ,3594,Entre R$2.500 e R$5.000
04922,25,PR,9328,Entre R$7.500 e R$10.000
08651,79,SP,1956,Entre R$1.750 e R$2.500
26550,85,SP,9225,Entre R$7.500 e R$10.000
19667,29,DF,5858,Entre R$5.000 e R$7.500
01539,20,GO,6532,Entre R$5.000 e R$7.500
01957,66,SP,2108,Entre R$1.750 e R$2.500
05380,47,RJ,12196,Mais Que R$10.000
22746,72,BA,4341,Entre R$2.500 e R$5.000
17961,23,SP,12903,Mais Que R$10.000
09872,73,SP,3570,Entre R$2.500 e R$5.000
27262,80,RJ,2783,Entre R$2.500 e R$5.000
25752,33,SP,12116,Mais Que R$10.000
21544,61,SP,12796,Mais Que R$10.000
25237,89,RS,12711,Mais Que R$10.000
14581,87,PR,4846,Entre R$2.500 e R$5.000
17990,19,SP,3072,Entre R$2.500 e R$5.000
08110,43,RJ,6780,Entre R$5.000 e R$7.500
19861,63,RS,4769,Entre R$2.500 e R$5.000
14818,55,ES,1943,Entre R$1.750 e R$2.500
03201,20,SP,13673,Mais Que R$10.000
26690,56,RJ,8120,Entre R$7.500 e R$10.000
19785,19,SP,10265,Mais Que R$10.000
04202,65,SP,14906,Mais Que R$10.000
06277,28,BA,11796,Mais Que R$10.000
04757,57,SP,8573,Entre R$7.500 e R$10.000
15401,36,RJ,5458,Entre R$5.000 e R$7.500
25788,28,SP,9704,Entre R$7.500 e R$10.000
25004,37,RJ,12228,Mais Que R$10.000
11102,51,SP,10927,Mais Que R$10.000
11628,35,SP,3980,Entre R$2.500 e R$5.000
15762,37,RJ,9605,Entre R$7.500 e R$10.000
25043,24,MG,14255,Mais Que R$10.000
27201,77,SP,2426,Entre R$1.750 e R$2.500
13159,53,SP,4879,Entre R$2.500 e R$5.000
11875,63,RJ,1959,Entre R$1.750 e R$2.500
18629,52,SP,3378,Entre R$2.500 e R$5.000
10980,60,SP,5458,Entre R$5.000 e R$7.500
05677,32,RS,5795,Entre R$5.000 e R$7.500
04732,62,RJ,8829,Entre R$7.500 e R$10.000
18490,36,SP,7597,Entre R$7.500 e R$10.000
09315,74,RS,6166,Entre R$5.000 e R$7.500
19552,33,RJ,11514,Mais Que R$10.000
05802,22,PE,12522,Mais Que R$10.000
21645,79,SP,5028,Entre R$5.000 e R$7.500
08714,73,RJ,9457,Entre R$7.500 e R$10.000
14934,60,RJ,7882,Entre R$7.500 e R$10.000
10014,30,CE,8221,Entre R$7.500 e R$10.000
19411,74,GO,8411,Entre R$7.500 e R$10.000
22487,84,MG,2848,Entre R$2.500 e R$5.000
08549,20,GO,5387,Entre R$5.000 e R$7.500
27944,81,SP,3097,Entre R$2.500 e R$5.000
12290,72,SP,4232,Entre R$2.500 e R$5.000
19026,64,SP,5747,Entre R$5.000 e R$7.500
08054,23,SP,10009,Mais Que R$10.000
15087,25,RJ,7610,Entre R$7.500 e R$10.000
07477,46,SP,10356,Mais Que R$10.000
08818,67,SP,2751,Entre R$2.500 e R$5.000
10521,24,SP,9169,Entre R$7.500 e R$10.000
24224,30,MG,9126,Entre R$7.500 e R$10.000
19874,74,SP,11931,Mais Que R$10.000
22804,55,DF,5358,Entre R$5.000 e R$7.500
23457,80,RJ,7381,Entre R$5.000 e R$7.500
02806,50,DF,2082,Entre R$1.750 e R$2.500
19121,87,DF,8674,Entre R$7.500 e R$10.000
09122,80,SP,4285,Entre R$2.500 e R$5.000
15096,46,RJ,10704,Mais Que R$10.000
17227,57,MG,12249,Mais Que R$10.000
26989,86,SP,10550,Mais Que R$10.000
08993,36,RJ,13102,Mais Que R$10.000
03188,29,SP,10693,Mais Que R$10.000
21004,69,MG,1994,Entre R$1.750 e R$2.500
24163,30,SP,12606,Mais Que R$10.000
02432,28,CE,9897,Entre R$7.500 e R$10.000
00840,86,MG,13320,Mais Que R$10.000
02346,84,SP,7825,Entre R$7.500 e R$10.000
15760,59,SP,5472,Entre R$5.000 e R$7.500
10459,69,PR,2791,Entre R$2.500 e R$5.000
17107,81,SP,10173,Mais Que R$10.000
12293,83,PR,4922,Entre R$2.500 e R$5.000
12392,18,SP,11157,Mais Que R$10.000
09145,31,SP,3426,Entre R$2.500 e R$5.000
23980,28,RJ,2836,Entre R$2.500 e R$5.000
00609,33,ES,9467,Entre R$7.500 e R$10.000
18839,60,SP,7118,Entre R$5.000 e R$7.500
09828,51,RJ,12528,Mais Que R$10.000
05880,56,PR,1754,Entre R$1.750 e R$2.500
14359,25,MG,4450,Entre R$2.500 e R$5.000
15035,30,RJ,4756,Entre R$2.500 e R$5.000
15187,20,MG,4796,Entre R$2.500 e R$5.000
16006,69,SC,4120,Entre R$2.500 e R$5.000
00801,42,RJ,8726,Entre R$7.500 e R$10.000
17559,32,RJ,10109,Mais Que R$10.000
21650,18,AL,6385,Entre R$5.000 e R$7.500
16965,18,SP,13397,Mais Que R$10.000
11416,34,SP,14101,Mais Que R$10.000
07858,49,RJ,14528,Mais Que R$10.000
03784,67,RJ,5568,Entre R$5.000 e R$7.500
15906,57,RJ,2770,Entre R$2.500 e R$5.000
18223,33,RJ,3709,Entre R$2.500 e R$5.000
15840,67,RJ,11371,Mais Que R$10.000
04759,39,MG,4565,Entre R$2.500 e R$5.000
13663,51,SE,12537,Mais Que R$10.000
04919,43,BA,9525,Entre R$7.500 e R$10.000
05544,64,SP,3191,Entre R$2.500 e R$5.000
12620,84,AL,13374,Mais Que R$10.000
04221,41,RS,13467,Mais Que R$10.000
22367,30,MS,3582,Entre R$2.500 e R$5.000
00606,30,SP,7961,Entre R$7.500 e R$10.000
22092,89,RS,14477,Mais Que R$10.000
10612,37,SP,4399,Entre R$2.500 e R$5.000
17754,39,BA,8946,Entre R$7.500 e R$10.000
17942,34,SP,6034,Entre R$5.000 e R$7.500
21180,88,BA,5697,Entre R$5.000 e R$7.500
12059,61,RJ,12471,Mais Que R$10.000
18591,50,CE,10272,Mais Que R$10.000
25144,70,MS,6132,Entre R$5.000 e R$7.500
25087,31,SP,14436,Mais Que R$10.000
19572,30,MT,11738,Mais Que R$10.000
04260,75,RJ,8340,Entre R$7.500 e R$10.000
03001,42,SP,14327,Mais Que R$10.000
09717,23,SP,9798,Entre R$7.500 e R$10.000
05574,42,SP,11739,Mais Que R$10.000
16371,70,RJ,9896,Entre R$7.500 e R$10.000
15854,26,SP,4178,Entre R$2.500 e R$5.000
16651,80,SP,4416,Entre R$2.500 e R$5.000
14114,50,SC,14989,Mais Que R$10.000
15385,82,RJ,3302,Entre R$2.500 e R$5.000
25175,27,PB,4498,Entre R$2.500 e R$5.000
20233,78,SC,9582,Entre R$7.500 e R$10.000
25464,82,RJ,13726,Mais Que R$10.000
22334,52,PR,5613,Entre R$5.000 e R$7.500
05200,31,MG,9436,Entre R$7.500 e R$10.000
23497,79,PR,2313,Entre R$1.750 e R$2.500
16495,37,MG,5605,Entre R$5.000 e R$7.500
21478,66,RJ,12297,Mais Que R$10.000
19345,65,CE,12013,Mais Que R$10.000
09258,65,SP,1801,Entre R$1.750 e R$2.500
12139,61,RJ,10372,Mais Que R$10.000
27871,72,RS,13840,Mais Que R$10.000
06729,51,SP,10981,Mais Que R$10.000
05697,80,MG,13896,Mais Que R$10.000
02077,32,SP,9460,Entre R$7.500 e R$10.000
05400,86,SP,4494,Entre R$2.500 e R$5.000
25652,66,PR,9937,Entre R$7.500 e R$10.000
01895,52,PE,5574,Entre R$5.000 e R$7.500
08806,25,MG,9849,Entre R$7.500 e R$10.000
05877,77,SP,11105,Mais Que R$10.000
23299,59,PR,7396,Entre R$5.000 e R$7.500
06583,46,RS,1830,Entre R$1.750 e R$2.500
23222,28,SP,3169,Entre R$2.500 e R$5.000
22181,86,RJ,9138,Entre R$7.500 e R$10.000
04699,18,MG,6515,Entre R$5.000 e R$7.500
00282,76,MG,3906,Entre R$2.500 e R$5.000
14578,75,SP,9630,Entre R$7.500 e R$10.000
22090,55,RJ,4768,Entre R$2.500 e R$5.000
15034,64,RJ,12799,Mais Que R$10.000
13590,68,SP,6021,Entre R$5.000 e R$7.500
10159,85,BA,7433,Entre R$5.000 e R$7.500
12393,86,RS,11814,Mais Que R$10.000
00586,41,MG,11973,Mais Que R$10.000
02033,53,SP,14769,Mais Que R$10.000
25964,20,MG,5916,Entre R$5.000 e R$7.500
13863,35,RJ,14745,Mais Que R$10.000
24305,69,MA,12908,Mais Que R$10.000
15069,65,RN,6114,Entre R$5.000 e R$7.500
00538,64,SC,4462,Entre R$2.500 e R$5.000
02919,64,RS,1983,Entre R$1.750 e R$2.500
27073,33,SP,11780,Mais Que R$10.000
15535,35,RS,13096,Mais Que R$10.000
00566,78,BA,3792,Entre R$2.500 e R$5.000
27414,62,SP,14286,Mais Que R$10.000
18437,88,RJ,6729,Entre R$5.000 e R$7.500
17494,30,BA,8199,Entre R$7.500 e R$10.000
17326,83,MG,1531,Até R$1.750
20553,63,SP,6977,Entre R$5.000 e R$7.500
10588,75,SP,2697,Entre R$2.500 e R$5.000
21921,70,SP,8492,Entre R$7.500 e R$10.000
15484,89,RS,10716,Mais Que R$10.000
04671,65,ES,12721,Mais Que R$10.000
25200,50,BA,12121,Mais Que R$10.000
18361,80,MT,13982,Mais Que R$10.000
24947,72,SC,2293,Entre R$1.750 e R$2.500
02322,82,SP,7458,Entre R$5.000 e R$7.500
18874,23,SP,14195,Mais Que R$10.000
08446,52,SP,4166,Entre R$2.500 e R$5.000
04490,51,PE,1939,Entre R$1.750 e R$2.500
08716,52,SP,10612,Mais Que R$10.000
23844,28,SP,4075,Entre R$2.500 e R$5.000
21035,57,RS,1825,Entre R$1.750 e R$2.500
08804,71,RJ,3776,Entre R$2.500 e R$5.000
21373,84,PE,9962,Entre R$7.500 e R$10.000
03656,28,RJ,13939,Mais Que R$10.000
09105,71,PR,8266,Entre R$7.500 e R$10.000
04064,19,SP,2491,Entre R$1.750 e R$2.500
20892,66,RJ,8452,Entre R$7.500 e R$10.000
12844,76,RJ,7107,Entre R$5.000 e R$7.500
16884,68,MG,1735,Até R$1.750
06482,37,PE,10260,Mais Que R$10.000
06978,86,SP,2443,Entre R$1.750 e R$2.500
27658,29,SP,9458,Entre R$7.500 e R$10.000
11356,66,CE,2681,Entre R$2.500 e R$5.000
26508,67,SP,2041,Entre R$1.750 e R$2.500
16696,61,RJ,5922,Entre R$5.000 e R$7.500
10909,18,CE,6132,Entre R$5.000 e R$7.500
06939,81,PE,12884,Mais Que R$10.000
09830,22,PE,8732,Entre R$7.500 e R$10.000
19051,64,SP,13742,Mais Que R$10.000
22484,64,MG,6825,Entre R$5.000 e R$7.500
14602,26,SP,14424,Mais Que R$10.000
27193,22,AL,2534,Entre R$2.500 e R$5.000
06693,81,SP,11359,Mais Que R$10.000
02441,88,MG,14797,Mais Que R$10.000
27925,23,BA,6657,Entre R$5.000 e R$7.500
17881,48,RJ,7201,Entre R$5.000 e R$7.500
05707,69,SP,4997,Entre R$2.500 e R$5.000
01344,40,RJ,12865,Mais Que R$10.000
02890,32,DF,13102,Mais Que R$10.000
11579,30,SP,11127,Mais Que R$10.000
19507,54,RJ,5481,Entre R$5.000 e R$7.500
06536,73,SP,13077,Mais Que R$10.000
20277,75,ES,13390,Mais Que R$10.000
07578,56,RJ,12684,Mais Que R$10.000
13548,83,SP,3083,Entre R$2.500 e R$5.000
04088,89,SC,12891,Mais Que R$10.000
17182,20,SE,8768,Entre R$7.500 e R$10.000
20621,47,BA,2687,Entre R$2.500 e R$5.000
14428,52,SP,4782,Entre R$2.500 e R$5.000
04240,48,MG,4076,Entre R$2.500 e R$5.000
11620,77,SP,7670,Entre R$7.500 e R$10.000
19899,27,SP,13501,Mais Que R$10.000
19328,46,SP,11656,Mais Que R$10.000
09503,72,RN,8156,Entre R$7.500 e R$10.000
18790,47,RJ,11682,Mais Que R$10.000
03396,42,RJ,5171,Entre R$5.000 e R$7.500
20264,84,MG,4889,Entre R$2.500 e R$5.000
04031,76,PR,6732,Entre R$5.000 e R$7.500
17460,37,RS,1920,Entre R$1.750 e R$2.500
07516,70,SP,13282,Mais Que R$10.000
13080,77,SP,7930,Entre R$7.500 e R$10.000
00751,26,SP,7593,Entre R$7.500 e R$10.000
11516,86,PR,2646,Entre R$2.500 e R$5.000
21784,18,MG,9396,Entre R$7.500 e R$10.000
26073,53,RJ,8377,Entre R$7.500 e R$10.000
19390,60,MG,2843,Entre R$2.500 e R$5.000
06170,65,RJ,12656,Mais Que R$10.000
00408,36,SP,4756,Entre R$2.500 e R$5.000
24738,52,RS,6961,Entre R$5.000 e R$7.500
12874,60,SP,8563,Entre R$7.500 e R$10.000
14963,38,PR,8234,Entre R$7.500 e R$10.000
23714,67,SP,7662,Entre R$7.500 e R$10.000
27051,35,MG,6355,Entre R$5.000 e R$7.500
03093,77,SP,9969,Entre R$7.500 e R$10.000
22194,64,SP,6198,Entre R$5.000 e R$7.500
13386,39,GO,8237,Entre R$7.500 e R$10.000
03284,85,RJ,14907,Mais Que R$10.000
18200,88,RJ,12337,Mais Que R$10.000
17197,84,SP,13747,Mais Que R$10.000
12469,70,MT,13216,Mais Que R$10.000
10491,21,RJ,11438,Mais Que R$10.000
11352,70,SP,2282,Entre R$1.750 e R$2.500
21424,55,MG,8003,Entre R$7.500 e R$10.000
21620,39,PE,3457,Entre R$2.500 e R$5.000
